root_id,n_tweets,n_inbound,n_outbound
40405,2,1,1
40408,3,2,1
40429,3,1,2
40442,2,1,1
40476,2,1,1
40517,3,2,1
40524,2,1,1
40618,4,2,2
40647,2,1,1
40701,2,1,1
40863,2,1,1
40888,2,1,1
40900,4,2,2
40916,5,3,2
40918,2,1,1
40944,3,1,2
41007,4,2,2
41114,6,3,3
41133,10,6,4
41150,3,1,2
41156,3,1,2
41189,3,1,2
41195,2,1,1
41216,5,1,4
41221,2,1,1
41231,6,5,1
41302,3,2,1
41308,2,1,1
41316,6,3,3
41332,2,1,1
41339,2,1,1
41381,2,1,1
41406,3,2,1
41413,4,2,2
41420,2,1,1
41428,2,1,1
41483,2,1,1
41493,2,1,1
41511,5,3,2
41550,4,2,2
41556,5,3,2
41564,2,1,1
41586,4,2,2
41614,2,1,1
41621,3,2,1
41625,9,5,4
41643,3,2,1
41645,2,1,1
41659,4,2,2
41666,2,1,1
41686,6,3,3
41701,2,1,1
41754,2,1,1
41763,3,1,2
41827,3,2,1
41882,2,1,1
41890,2,1,1
41923,2,1,1
41930,10,5,5
41954,3,2,1
41961,6,3,3
41999,3,2,1
42041,3,2,1
42103,4,3,1
42124,5,3,2
42178,3,2,1
42180,2,1,1
42199,5,3,2
42204,5,3,2
42313,3,2,1
42333,16,9,7
42372,39,24,15
42386,6,4,2
42419,2,1,1
42438,3,2,1
42440,2,1,1
42446,2,1,1
42448,2,1,1
42465,2,1,1
42562,5,3,2
42594,2,1,1
42618,4,2,2
42659,2,1,1
42665,2,1,1
42727,3,1,2
42773,3,2,1
42777,2,1,1
42880,7,4,3
42892,2,1,1
42908,4,2,2
42918,6,3,3
42940,5,2,3
42948,2,1,1
42963,2,1,1
43040,10,7,3
43079,6,3,3
43114,2,1,1
43125,3,1,2
43175,2,1,1
43256,9,4,5
43261,5,3,2
43317,8,7,1
43375,2,1,1
43390,4,2,2
43397,2,1,1
43427,10,5,5
43449,2,1,1
43451,2,1,1
43455,2,1,1
43617,2,1,1
43621,2,1,1
43623,2,1,1
43627,2,1,1
43629,2,1,1
43635,2,1,1
43640,3,2,1
43650,4,2,2
43700,2,1,1
43722,2,1,1
43733,3,2,1
43889,2,1,1
43971,2,1,1
43978,2,1,1
43988,3,1,2
43999,2,1,1
44127,4,2,2
44195,2,1,1
44197,2,1,1
44206,8,6,2
44237,2,1,1
44262,2,1,1
44290,2,1,1
44302,2,1,1
44402,5,3,2
44452,23,14,9
44476,7,3,4
44544,2,1,1
44561,2,1,1
44600,7,4,3
44614,2,1,1
44651,7,3,4
44698,2,1,1
44709,6,2,4
44934,6,3,3
44946,3,1,2
45151,2,1,1
45291,2,1,1
45294,7,4,3
45327,2,1,1
45339,4,2,2
45353,4,2,2
45358,4,1,3
45368,2,1,1
45400,3,2,1
45488,2,1,1
45539,2,1,1
45570,2,1,1
45578,2,1,1
45607,2,1,1
45868,2,1,1
45916,2,1,1
45924,6,3,3
45950,2,1,1
45956,6,3,3
45966,4,2,2
45995,4,2,2
46005,3,2,1
46019,5,3,2
46074,19,10,9
46096,2,1,1
46099,4,2,2
46139,4,3,1
46177,3,2,1
46213,2,1,1
46217,2,1,1
46288,3,2,1
46315,3,2,1
46317,2,1,1
46405,2,1,1
46413,4,2,2
46472,6,3,3
46474,2,1,1
46476,2,1,1
46519,4,2,2
46555,2,1,1
46574,2,1,1
46588,2,1,1
46627,3,1,2
46630,5,1,4
46638,3,1,2
46692,2,1,1
46724,3,1,2
46743,3,2,1
46745,2,1,1
46816,4,2,2
46823,2,1,1
46845,2,1,1
46850,5,3,2
46875,3,2,1
46938,2,1,1
46971,2,1,1
46973,2,1,1
46999,5,3,2
47050,4,2,2
47116,2,1,1
47192,4,3,1
47194,2,1,1
47211,2,1,1
47252,2,1,1
47263,2,1,1
